,highest.rtu,guild
1,Acalypterate,fly
2,Adeloidea,lep
3,Ammophila,predatory.wasp
4,Ancylandrenalarreae,bee
5,Andrena,bee
6,Anthidium,bee
7,Anthocoridae,true.bug
8,Anthomyiidae,fly
9,Aphididae,true.bug
10,Aphoebantus,beefly
11,Apismellifera,bee
12,Araneae,spider
13,Ashmeadiella,bee
14,Asilidae,fly
15,Atoposmia,bee
16,Berytidae,true.bug
17,Bombyliidae,beefly
18,Braconidae,parasitioid.wasp
19,Buprestidae,beetle
20,Calliphoridae,fly
21,Canacidae,fly
22,Cecidomyiidae,fly
23,Cephranoidea,parasitioid.wasp
24,Ceraphronidae,parasitioid.wasp
25,Cercopidae,true.bug
26,Chalcididae,parasitioid.wasp
27,Chamaemyiidae,fly
28,Chloropidae,fly
29,Chrysididae,parasitioid.wasp
30,Chrysomelidae,beetle
31,Chrysopidae,lacewing
32,Chyromyidae,fly
33,Cicadellidae,true.bug
34,Coccinellidae,true.bug
35,Colletes,bee
36,Crabronidae,predatory.wasp
37,Curculionidae,beetle
38,Cysteodemus,beetle
39,damaged,NA
40,Delphacidae,true.bug
41,destroyed,NA
42,Diadasia,bee
43,Drosophilidae,fly
44,Dryinidae,predatory.wasp
45,Dryudella,predatory.wasp
46,Encrytidae,parasitioid.wasp
47,Encyrtidae,parasitioid.wasp
48,Ephydridae,fly
49,Eucera,bee
50,Eucharitidae,parasitioid.wasp
51,Eulophidae,parasitioid.wasp
52,Eumeninae,predatory.wasp
53,Eupelmidae,parasitioid.wasp
54,Eupeodesvolucris,syrphid
55,Eupomphaelegans,beelte
56,Eurytomidae,parasitioid.wasp
57,Figitidae,parasitioid.wasp
58,Formicidae,ant
59,Geocoridae,true.bug
60,Halictus,bee
61,Harmostes,true.bug
62,Harpactorinae,true.bug
63,Heleomyzidae,fly
64,Hemiptera,true.bug
65,Hesperapis,bee
66,Hoplitis,bee
67,Ichneumonidae,parasitioid.wasp
68,Lasioglossum,bee
69,Lepidoptera,lep
70,Lygaeoidea,true.bug
71,Lytta,beetle
72,Lyttaauriculata,beetle
73,Megachile,bee
74,Megandrena.encelia,bee
75,Megaspilidae,parasitioid.wasp
76,Mellisodes,bee
77,Melyridae,beetle
78,Membracidae,true.bug
79,Microcoryphia,other
80,Milichiidae,fly
81,Miridae,true.bug
82,Miscophus,predatory.wasp
83,Muscidae,fly
84,Mutillidae,velvet ant
85,Mymaridae,parasitioid.wasp
86,Myrmosidae,parasitioid.wasp
87,Mythicomyiidae,microbeefly
88,Nomadopsis,bee
89,Nymph,true.bug
90,Nymphalidae,lep
91,Omomyia,fly
92,Orthoptera,othoptera
93,Osmia,bee
94,Papilionidae,lep
95,Pemphredoninae,predatory.wasp
96,Pentamoidae,true.bug
97,Perdita,bee
98,Perilampidae,parasitioid.wasp
99,Phoridae,fly
100,Pipunculidae,fly
101,Platygastridae,parasitioid.wasp
102,Pompilidae,predatory.wasp
103,Pronotacanthaannulata,true.bug
104,Psylloidea,true.bug
105,Pteromalidae,parasitioid.wasp
106,Rhopalidae,true.bug
107,Sarcophagidae,fly
108,Sciaridae,fly
109,Signiphoridae,parasitioid.wasp
110,Solifugae,other
111,Sphecidae,predatory.wasp
112,Tachinidae,fly
113,Tephritidae,fly
114,Tersilochinae,parasitioid.wasp
115,Therevidae,fly
116,Thysanoptera,thrip
117,Tingidae,true.bug
118,Torymidae,parasitioid.wasp
119,Toxomerusmarginatus,syrphid
120,Trichogrammatidae,parasitioid.wasp
121,Trichoptera,other
122,Usiinae,beefly
123,Zeroes,NA
