v.species,species.clean,fun.rtu
,NA,NA
?,?,NA
acari,mite,other
ammophila,ammophila,pred wasp
ant,ant,ant
Apis mellifera,Apis mellifera,honeybee
asian lady beetle,lady beetle,beetle
asilidae,asilidae,robber fly
assassin bug,assassin bug,true bug
bombylidae,bombylidae,fly
butterfly,butterfly,lep
Calliopsis?,solitary bee,bee
centris rhodopus,centris rhodopus,bee
chrysididae,chrysididae,para wasp
crabronidae,crabronidae,pred wasp
dark bee,solitary bee,bee
diptera,fly,fly
Eucera,Eucera,bee
fly,fly,fly
fly ,fly,fly
fly?,fly?,fly
green lacewing,green lacewing,other
Halicitidae?,solitary bee,bee
hemiptera,Hemiptera,true bug
Hemiptera,Hemiptera,true bug
Hemipteraea,Hemiptera,true bug
Hesperapis larrae,Hesperapis larrae,bee
hoplitis,hoplitis,bee
hummingbird,hummingbird,bird
lady beetle,lady beetle,beetle
lepidoptera,lepidoptera,lep
Megachile,Megachile,bee
Moth,Moth,lep
Muscoidea,Muscoidea,fly
nomada,nomada,bee
parasitoid wasp,parasitoid wasp,para wasp
Pentamoidae,Pentamoidae,true bug
red spider mite,mite,other
rhopalidae,rhopalidae,true bug
scaeva pyrastri,scaeva pyrastri,syrphid
solitary bee,solitary bee,bee
solitary.bee,solitary bee,bee
spider,spider,other
Swallowtail,Swallowtail,lep
Syrphidae,Syrphidae,syrphid
Syrphidaeae,Syrphidae,syrphid
wasp,wasp,pred wasp
NA,NA,NA
